Sku,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,unit cost,lead-time,retail_price,quantity_on_hand
KR202-277,2998,3329,1587,3221,665,843,3304,854,1360,3483,3988,1014,1742,3,9615,570
KR202-278,1197,3854,3835,1247,2572,3599,1978,1912,2001,1913,958,3841,872,3,9256,2504
KR202-279,2524,1423,2950,3745,3879,3704,3015,2461,2570,2638,3393,3071,1260,2,8154,2103
KR202-280,3079,3585,1995,2705,3044,3791,3670,3244,3728,2088,1755,2445,1800,2,14551,2738
KR202-281,1038,2378,1893,3039,3843,2346,2886,3523,3950,744,1566,3884,1636,3,12839,1222
KR202-282,3833,3481,2737,1790,3704,2284,3305,1157,3940,1274,3803,1750,1115,2,11090,804
KR202-283,2393,3241,2026,3988,3267,2106,1828,915,3850,3590,2831,790,950,3,11904,1343
KR202-284,2825,1563,2985,3776,1224,1259,2872,3857,541,3614,3545,1244,1137,5,13627,1637
KR202-285,2037,1003,3871,523,2896,1321,878,2834,1151,1962,1427,546,1381,2,3461,423
KR202-286,664,2374,2619,705,802,1866,3502,940,2182,1770,3433,954,769,2,12630,1199
KR202-287,2815,802,2718,2663,969,1655,616,1491,3394,3994,712,3645,798,5,12316,1142
KR202-288,3192,1209,2831,2893,2729,1245,914,2448,2614,2991,2500,3714,1151,2,1519,2562
KR202-289,3480,2055,2098,1090,1983,3632,792,1109,2963,1229,1582,3137,835,3,14544,838
KR202-290,1912,3205,1175,2983,2137,2629,3206,2938,3941,2376,612,1915,1846,2,6351,1397
KR202-291,4000,3117,1606,3318,2528,3503,2976,1890,3634,1679,2237,3725,1303,3,11595,2349
KR202-292,737,2931,2248,2577,1600,3307,2345,1311,826,1728,2693,3143,511,2,3488,599
KR202-293,2662,1393,866,3883,1148,3008,1767,3682,1364,644,3710,3808,1187,3,4869,500
KR202-294,962,2900,1882,1731,3191,2935,3954,2465,2456,811,839,3282,647,4,7658,2151
KR202-295,1681,1999,3259,3998,3767,2385,2738,574,2629,3718,3681,1083,1291,5,2161,1250
KR202-296,522,3401,3506,2639,3622,3895,3622,2009,3862,3106,3571,779,1315,5,9361,2007
KR202-297,1564,3043,2807,1140,1300,3601,797,3553,2323,3004,1738,3863,1573,1,8841,580
KR202-298,1505,1374,2536,1759,1678,1616,3223,3716,3050,3715,2972,2159,1363,1,11539,1289
KR202-299,3621,799,1359,2576,3623,2413,1543,3902,2233,986,859,1075,929,5,8909,1427
KR202-300,3006,3073,2791,846,2148,3588,1461,1825,2739,2711,3829,957,1488,2,6946,1352
KR202-301,1118,3434,1269,3709,1619,3177,656,2589,2970,3754,3474,2661,988,2,13994,1280
KR202-302,3526,1338,1136,1631,2994,985,2948,584,683,3112,2868,3521,1523,1,14381,673
KR202-303,712,3680,817,1071,1428,2508,892,721,3683,851,631,2777,991,2,12868,1193
KR202-304,1907,2390,2791,2383,1662,3356,3779,2777,3150,3302,3851,2853,834,2,2944,2729
KR202-305,1981,2915,1473,1402,767,3427,3690,3390,1627,2421,2832,1968,1333,5,7182,1241
KR202-306,3964,649,821,3790,1510,1711,1143,3211,854,2647,3746,3901,721,1,11466,2343
KR202-307,2851,1738,901,521,3478,1474,3513,3070,1463,865,1818,2699,791,5,4972,1161
KR202-308,3846,987,2307,1781,736,3210,2217,3517,2852,3479,1162,2404,925,1,8078,2231
KR202-309,646,2945,2046,913,1051,582,1391,3194,1134,1264,3491,690,1710,1,14098,513
KR202-310,537,504,2973,3467,811,2251,3595,1983,3726,3747,1795,2826,1750,4,5746,1588
KR202-311,2631,3885,3152,3966,1681,931,2699,3017,2809,3275,511,2129,1899,2,10752,1976
KR202-312,805,1771,3748,1832,2974,1237,1907,3114,1662,1811,3418,2794,1980,2,13492,966
KR202-313,3861,2971,2783,812,2019,1052,1087,567,704,3143,1827,2392,1534,2,10432,846
KR202-314,733,588,3566,985,3486,1416,2895,1415,1249,1987,2069,3950,1387,3,5956,1998
KR202-315,1625,857,1832,2839,3162,870,666,643,1422,3603,3997,1498,1731,2,14421,1275
KR202-316,3653,2498,1983,1339,3234,1871,2990,606,697,3477,2253,2740,631,2,14514,961
KR202-317,554,1001,1346,1211,3386,1455,1919,2869,3482,3425,1631,1880,847,5,14649,1309
KR202-318,1844,3159,1690,714,3244,3576,3096,2817,1419,3330,2729,2107,540,4,14617,1957
KR202-319,1740,1946,3560,3455,875,3686,2582,1172,3734,1923,2202,3683,707,1,6704,1264
KR202-320,3524,953,2712,2744,2353,938,1648,3329,3944,2719,1158,1712,801,5,1431,856
KR202-321,1495,759,3569,1079,2118,1454,505,3191,2875,1028,2803,2496,1803,2,8888,857
KR202-322,2604,1644,3826,734,2607,1092,3902,3371,2390,3279,3463,1786,1235,5,3398,668
KR202-323,3265,3047,3704,2907,1248,3765,1099,2311,566,3688,2098,2357,1106,1,4333,738
KR202-324,2534,2706,1221,3032,1086,534,1200,2059,1471,3846,763,2175,1567,1,7457,1469
KR202-325,2826,3180,2923,2709,872,2198,2755,3419,2379,2159,3791,2986,688,2,12456,984
KR202-326,1053,3713,2055,1824,1008,1766,1426,2039,1148,704,1415,644,1457,5,13980,990
KR202-327,1750,3458,3699,2650,3182,1652,3129,3288,3522,716,2359,2265,1819,3,12826,2241
KR202-328,2951,3391,913,1615,2716,3027,2346,2017,3804,3349,2156,3406,1492,3,14288,671
KR202-329,3638,1398,575,571,893,3237,603,527,899,3322,1015,505,642,4,9916,935
KR202-330,2745,3683,3773,2582,1471,1812,2245,2526,2292,3505,1985,749,1623,1,5543,2533
KR202-331,1205,608,2002,672,1248,2104,3839,3489,990,1931,2068,773,1568,2,13498,1792
KR202-332,1139,2893,3377,2040,651,1402,2639,2791,1440,2301,1379,2931,1027,4,10803,1106
KR202-333,2832,1573,2965,850,2525,2992,2223,1811,775,2706,2458,3289,1302,4,3229,1192
KR202-334,883,1738,2043,2153,1904,799,3875,623,1211,3732,3021,1872,605,1,5649,1290
KR202-335,2364,2467,1039,2688,2792,1859,978,1769,1825,1045,513,542,943,2,2091,1017
KR202-336,3029,2312,2672,3018,2778,1197,1161,1488,669,1071,3653,1263,1389,1,9977,1202
KR202-337,2363,3013,3179,1151,2384,1640,1210,3402,2103,2521,2622,3193,868,4,11673,1141
KR202-338,3959,3711,2925,664,529,1011,1814,3581,2745,1120,1701,1592,1115,1,7435,2106
KR202-339,1562,2142,2194,2870,1460,3541,1887,2878,679,1985,1196,2398,628,4,10647,1888
KR202-340,777,1705,2705,1253,1485,2573,2089,3634,3905,1608,3382,2301,984,3,14740,842
KR202-341,3216,3131,505,1609,2507,2810,2890,1927,1042,3813,2528,2328,1407,1,6853,1815
KR202-342,2609,3418,3078,917,710,1641,1719,3865,648,2722,2659,2778,866,3,5209,1291
KR202-343,3364,2729,2502,3863,1048,991,3552,810,3887,2989,2934,3465,1174,1,3034,2628
KR202-344,2853,2186,3928,2712,3926,2228,2474,1230,717,3671,618,2648,1473,2,12560,1794
KR202-345,1259,3139,1629,751,1535,1088,2413,3048,769,884,3174,3159,1727,5,3323,1341
KR202-346,653,976,2532,2095,2889,2018,1033,2025,732,3226,3394,1683,901,3,12621,658
KR202-347,2509,2728,3995,2629,3690,1731,891,1432,3055,2437,3211,1551,1475,3,13560,2340
KR202-348,2561,684,3574,1170,3207,3209,1582,2978,2007,1089,2822,2812,1731,2,2025,1184
KR202-349,1703,2842,2285,1918,603,3737,1108,3487,2253,3134,1185,881,1423,2,2863,1956
KR202-350,3343,921,3063,3427,2456,742,2962,3772,2214,2912,3883,2362,1315,3,10805,2295
KR202-351,3692,3407,3935,3982,949,3355,2754,1034,2220,2050,3430,3132,1341,2,10071,1653
KR202-352,556,2910,954,3352,1684,3781,3878,2046,1407,962,2686,694,539,1,2610,1653
KR202-353,2080,2819,2168,2821,2451,3571,2847,3385,2780,2301,3340,1425,1520,1,10738,1553
KR202-354,3600,570,3184,1779,3817,696,3556,593,3752,2781,2632,2960,1961,4,11496,1017
KR202-355,3488,3484,1143,1552,1142,806,2390,3981,1620,3820,2017,2166,1471,2,3712,2416
KR202-356,1977,2695,3136,2082,974,3578,891,546,1456,3548,3793,3789,1028,1,4898,2375
KR202-357,2301,1230,1013,1299,3898,2488,3231,2736,1703,1451,2828,1767,887,3,5734,1195
KR202-358,2817,1603,896,1754,2364,1423,2734,2683,1578,979,3367,1402,1949,4,5262,726
KR202-359,1821,1688,2172,2887,2461,730,1402,1583,2761,3541,2905,3154,1825,5,14417,1010
KR202-360,1839,3566,1457,2649,862,3481,1939,675,3334,1370,871,3737,840,1,9900,743
KR202-361,1605,3830,2951,3565,513,3199,2633,1598,2213,2100,1727,1487,1665,5,12205,2401
KR202-362,655,537,1422,2267,3808,3518,2820,2216,762,3270,1435,2046,1744,1,12224,2236
KR202-363,3759,3428,3155,3124,759,2973,3458,1562,3722,3008,3136,2517,1555,4,8926,2482
KR202-364,1907,3231,2977,1804,990,1975,3698,2856,916,3014,2551,3265,1687,1,8035,723
KR202-365,532,3919,828,2584,1313,3335,3906,3951,3954,1600,2711,2919,1898,4,8025,725
KR202-366,3918,3092,3785,2835,1214,2320,1106,2625,3638,3448,868,1807,1748,1,9147,1624
KR202-367,1713,711,1796,593,680,2017,3083,3473,2807,1319,2630,3689,1019,3,2239,1872
KR202-368,3188,3394,719,1261,1801,3213,795,1304,2204,3619,1914,3769,937,2,5909,2259
KR202-369,2926,939,3001,609,1840,2554,963,3254,835,1418,809,1592,990,2,13251,1864
KR202-370,845,1663,3799,1381,3081,2435,2639,2548,1351,2139,602,995,1131,3,2640,1823
KR202-371,2460,3521,1879,1048,3999,2532,3883,3875,3552,1525,517,3812,1704,2,5913,2493
KR202-372,2161,1906,2322,2038,1283,3373,708,1697,2957,1010,1869,2972,890,4,13323,1706
KR202-373,651,3677,1120,2535,1039,1377,1124,1182,2436,3800,3531,943,1060,3,3089,2091
KR202-374,2117,1528,2267,1608,1427,3376,1593,2733,2712,3721,3301,1636,1299,2,3944,1752
KR202-375,772,3034,1684,776,2709,1809,3923,524,3461,1941,3838,1439,1196,2,4895,1137
KR202-376,613,3042,2527,1647,3836,3223,1794,1552,2405,2781,701,2005,1723,1,11488,2380
KR202-377,3798,1807,1218,2278,1153,1987,2438,1742,3691,2261,2757,3018,1084,2,13155,1980
KR202-378,916,1633,1828,2911,900,3516,3160,3502,2007,1586,2129,1483,1260,3,5956,1361
KR202-379,2797,2859,918,927,2758,1577,1103,3896,1449,3850,2848,3971,636,1,8766,2101
KR202-380,1408,770,3822,3345,3933,2263,1946,3378,1007,1759,3971,2005,1337,1,14725,1581
KR202-381,1864,2337,1108,3932,3933,3381,1247,1435,3722,2350,3139,1141,802,5,2549,1647
KR202-382,1632,1510,1181,1796,1245,981,745,2026,1315,3533,3270,2294,1134,4,5377,1670
KR202-383,2662,3585,1701,1593,1158,2554,2887,1280,965,2551,2218,3299,1387,3,13103,1818
KR202-384,2593,610,3443,2728,3765,1551,1104,1141,3612,1712,3102,2960,948,1,6167,1020
KR202-385,3078,2344,2584,2294,1122,3751,1555,3033,2189,1089,2737,3305,1715,1,4903,2457
KR202-386,785,728,1144,2757,2403,3528,869,2758,2619,1339,678,2524,1552,2,11085,1590
KR202-387,728,1666,2043,621,3112,2943,2701,2051,899,3584,3054,3357,1426,4,12455,1343
KR202-388,2498,3799,1617,2581,3859,962,845,2145,1109,1822,1637,1522,735,2,5350,413
KR202-389,1133,1831,3066,600,2343,2477,3915,2004,1996,1328,784,3775,663,3,14128,2206
KR202-390,1872,1551,845,1167,1492,2631,2341,1148,1758,1138,1137,530,1404,3,9761,972
KR202-391,2365,2460,3751,1867,2189,2283,2059,1825,800,1286,2144,3751,1255,5,6001,1084
KR202-392,3596,3058,1401,2567,683,3136,2405,3228,3372,3675,911,1858,682,3,9694,2040
KR202-393,3593,1152,2763,3677,3822,3813,2723,625,2021,2102,1246,1485,518,4,3730,1267
KR202-394,3139,2239,2345,2686,750,1752,2854,3222,1104,674,1395,3284,589,1,5883,2275
KR202-395,3143,2008,3246,1257,2662,2861,524,2175,3647,1807,2901,2055,1409,4,4298,1080
KR202-396,3976,1503,954,923,1739,3622,2076,1689,2974,3973,3710,1409,1229,3,1517,988
KR202-397,2352,618,2338,969,3614,1099,1760,2783,605,3796,1357,636,1208,3,7204,517
KR202-398,947,842,707,546,3563,1361,1374,1174,1806,3522,3458,1041,630,4,8580,1577
KR202-399,2990,3415,925,1713,2651,1080,1534,1826,3558,2716,1653,3993,576,5,6217,1550
KR202-400,3754,1578,570,1567,2918,1251,2415,3578,3551,2361,3405,1052,710,3,6229,977
KR202-401,3994,844,2027,3785,1297,2379,953,1754,2915,2850,1933,3166,679,4,13300,501
KR202-402,766,3970,1567,3720,1081,684,2148,911,1632,2538,2307,2099,1820,2,10137,1038
KR202-403,1450,3987,549,569,1873,1274,3592,1990,2588,1313,2325,2399,1412,5,13966,1717
KR202-404,3946,2585,2410,3715,2022,3846,3186,3953,2511,2998,866,1688,1430,3,1879,1248
KR202-405,3530,1201,3949,2464,2398,1945,1988,1553,1192,919,2351,1310,1310,5,14878,1033
KR202-406,3471,2559,3250,3337,583,1933,3287,1680,1806,3367,2329,3647,1248,3,7649,2058
KR202-407,3650,777,2079,1028,3128,1210,1325,2060,3207,3420,2622,1117,785,5,9961,1686
KR202-408,3412,701,765,3366,570,3772,3372,3969,2031,1034,3762,2044,708,2,6123,1543
KR202-409,3115,3079,3902,642,3349,3536,1323,909,893,3463,2954,2543,1978,4,6498,2361
KR202-410,2020,1243,2841,3936,2558,3379,2144,3685,3056,3983,2257,2017,906,2,5529,2603
KR202-411,1905,3270,3027,1136,2860,2966,929,2106,3583,1444,2655,3267,1440,5,13684,1239
KR202-412,2995,3364,1341,1241,3573,956,2781,2952,1520,1250,1399,927,674,1,2617,2002
KR202-413,2088,1492,2463,1690,1326,605,3147,1996,1299,2473,3641,3095,865,2,10902,1965
KR202-414,1767,3283,1476,846,2808,3931,834,2727,2579,1519,685,2054,1307,5,14921,641
KR202-415,536,2033,2698,2845,2196,3956,1623,1700,3050,2448,3202,683,1637,1,14030,1245
KR202-416,1877,2556,1529,3330,1162,3220,654,1977,3649,3092,1847,1985,1580,3,10958,1742
KR202-417,3600,2980,1152,510,2047,991,1171,3241,1721,3356,1696,3412,1786,3,6357,2036
KR202-418,3054,2256,1466,1929,3743,3563,2997,3346,1365,987,814,1963,844,5,12218,2044
KR202-419,2848,2318,2051,2787,3159,3299,2999,3469,2077,1354,2781,1157,1425,5,2926,1338
KR202-420,3472,2122,3388,3769,3958,3500,3186,2024,1123,2598,2990,3148,1793,4,13508,1907
KR202-421,3620,1964,1080,3012,3776,3396,1763,2500,3386,2456,3335,1465,1645,5,13557,2681
KR202-422,2955,3409,1881,1249,1321,1433,2985,1967,664,1777,661,2479,1624,1,5244,1109
KR202-423,3186,2054,1811,1766,864,2446,2290,1279,1581,2619,3884,1779,1225,4,9822,968
KR202-424,2484,2325,3064,2096,3956,2412,2262,2177,2084,550,3654,1454,1369,3,14434,1051
KR202-425,1835,2138,1326,3277,3955,2206,967,3203,2312,1113,3487,2795,1318,5,13460,694
KR202-426,3142,3382,2936,3654,3679,3087,3887,2522,3072,2322,1542,2593,1397,2,11334,3042
KR202-427,2283,2681,2316,1645,2545,2456,2682,1617,3673,2360,3198,2360,653,5,2206,1783
KR202-428,3317,2445,1817,1780,2553,1706,2876,593,2748,1863,3253,753,904,2,12276,888
KR202-429,2497,2355,1739,589,767,501,2768,1075,3023,792,1240,735,1572,1,2950,1222
KR202-430,2358,1473,1965,1430,2529,1265,3152,3280,1484,1536,1036,1023,1177,1,5893,1331
KR202-431,1213,3636,1828,1834,2775,2774,2290,2643,3304,3275,3543,3414,1326,5,4458,2548
KR202-432,1464,1883,2960,3717,3475,3554,1786,1209,1405,3821,684,3472,1181,1,12723,834
KR202-433,1093,1190,3340,2793,860,1032,1741,1182,3555,1229,3899,1731,683,3,7725,1655
KR202-434,2039,3066,2510,1425,1205,2032,627,606,924,3599,2110,1262,904,1,8183,1586
KR202-435,3689,1177,2360,2001,3668,3814,1922,2344,3102,3882,640,3500,849,2,10591,1339
KR202-436,3935,1593,2549,2711,3703,2208,3004,1871,554,510,1804,689,1990,2,8290,1578
KR202-437,3925,963,3919,2426,3689,2122,1681,1213,1474,2540,2452,2387,604,2,11435,2213
KR202-438,3922,1544,3095,3807,2358,2148,3783,2242,2370,2980,2096,3494,1466,1,6623,3086
KR202-439,1746,2868,3035,2425,3548,1807,1428,3381,993,596,3871,1104,1798,1,14529,448
KR202-440,833,2834,1336,1628,3977,2431,1687,579,2681,3510,1156,2765,913,2,12227,1924
KR202-441,3523,1468,2375,1590,1804,1185,1936,2060,3327,3204,2458,3668,1831,2,13089,977
KR202-442,3451,892,3942,3816,1522,1080,2074,2495,1313,2618,1544,3092,1925,1,12337,1790
KR202-443,2072,1779,2030,3153,977,529,3528,2671,1585,1345,2849,2291,830,2,1712,1284
KR202-444,567,3363,2741,2014,3898,2491,3162,2511,949,3470,1174,3066,1507,1,13341,2229
KR202-445,2999,2624,893,2418,2071,2666,645,3209,2750,2556,2444,3105,1777,4,5052,1497
KR202-446,2192,1033,3401,617,2321,561,701,2634,2324,558,2793,2306,1961,2,4686,983
KR202-447,3539,2838,2176,620,3028,2378,551,1079,3954,2398,991,530,1346,5,9212,692
KR202-448,519,976,3469,2989,3891,2933,882,2129,3717,2099,2600,1058,1624,3,2789,1764
KR202-449,3916,1139,583,3105,2095,651,3084,3550,3176,2732,1126,3146,515,2,11044,2273
KR202-450,3487,1528,631,3346,1432,1026,3124,3482,670,3881,2144,1714,1454,3,13930,762
KR202-451,1444,1910,3477,3986,2410,3228,2099,755,3143,1505,1592,1602,816,2,14750,2215
KR202-452,2805,543,1951,2017,740,2125,852,3278,1875,1827,3816,1282,589,1,10390,1231
KR202-453,1964,1282,2877,2618,864,3511,1960,830,555,1254,3605,3613,857,5,2193,2105
KR202-454,3513,2333,2198,1198,1743,2814,3931,868,3838,694,3576,3282,565,5,6324,2258
KR202-455,3457,3597,3516,1116,3430,1104,1951,3602,3610,1369,2236,1648,1572,2,14197,2558
KR202-456,2700,3848,2184,1863,3464,3519,3011,1952,2260,2657,2548,1512,1695,1,14084,984
KR202-457,3285,887,2838,3699,3357,2101,3903,1261,1556,2902,2885,2760,1791,2,11563,1531
KR202-458,1529,2347,3425,1125,2837,2847,730,2155,3353,691,501,1528,920,1,8476,1169
KR202-459,1342,3908,3425,3256,2015,1852,1939,2962,3705,1745,2916,586,934,1,10626,551
KR202-460,1160,3158,1513,2034,3566,1971,3099,2119,1569,2013,3061,2017,1840,4,13370,1783
KR202-461,947,1182,3517,2689,1830,2695,1678,510,603,2252,904,1675,725,2,1808,718
KR202-462,1706,3507,2039,924,1079,546,3153,3591,3732,3004,1313,1774,1484,2,14809,642
KR202-463,1250,1878,2888,3605,3029,1257,3482,2370,1306,1404,1899,3280,648,4,10162,683
KR202-464,2641,3359,3594,3387,3239,722,2374,2090,3288,3010,903,2638,1613,2,4354,1912
KR202-465,2280,2041,723,2510,1159,1424,3147,580,3291,3378,1845,2657,1263,2,5049,1680
KR202-466,1490,2367,1100,1071,1812,2603,2815,3305,2069,2743,3993,2820,1357,5,12589,2545
KR202-467,1870,2814,2872,3554,1258,2910,3992,2967,3369,833,2592,2700,1157,5,14770,800
KR202-468,2199,3397,548,2142,2229,1611,1814,619,1285,1299,758,3707,1124,1,6357,1463
KR202-469,3884,897,728,1402,714,2491,1060,1633,846,3317,2046,946,1874,1,12938,351
KR202-470,1575,978,3155,1470,1301,3566,3328,2644,2395,1052,2704,3497,1818,4,9851,1563
KR202-471,1223,2400,1198,1048,1274,2854,805,1956,2434,1624,797,2234,792,5,7824,1701
KR202-472,3108,2019,1371,3732,3088,908,1628,713,1567,1772,557,2041,1478,2,12959,1897
KR202-473,3321,648,2740,2963,3574,699,2273,1515,3325,749,2556,1483,1065,2,10604,964
KR202-474,2823,1216,1418,3225,1684,2939,1677,1172,523,618,1528,1055,1250,3,7686,756
KR202-475,2678,3754,1729,3650,2479,3266,1938,1206,1620,1881,2551,581,1327,1,5604,865
KR202-476,1718,2882,1095,651,2322,1022,1046,1078,1896,1965,1309,1552,511,1,5357,540
KR202-477,1610,2801,3551,1605,2077,3979,1375,3570,2117,2273,3525,1460,1195,5,9707,1625
KR202-478,3718,3419,1096,687,1112,3594,3512,1582,1019,2784,3365,1207,1599,3,14300,1857
KR202-479,3493,1587,780,2886,2515,1252,720,832,835,1709,3020,3411,1858,1,13797,1255
KR202-480,3165,908,3108,3777,2868,2083,528,1439,3397,2984,2919,2770,1964,4,9483,958
KR202-481,681,2518,2613,2280,1471,1877,734,2230,3425,2364,1554,1679,1605,5,7092,1490
KR202-482,1057,810,3528,3909,2704,671,2002,3444,2414,2164,2326,3359,1828,1,2048,2291
KR202-483,3216,1544,2817,3981,1851,3275,1321,1095,2132,550,3460,3931,1642,1,9237,2559
